Temperature (°C),Pressure (bar),Catalyst Concentration (wt%),Feed Flow Rate (L/min),Yield (%)
236.26,5.89,2.44,9.78,80.26
193.06,5.9,2.49,9.87,75.23
242.48,5.22,3.01,10.81,81.59
217.75,5.09,3.13,9.7,78.14
236.52,6.12,3.19,10.03,88.44
242.73,6.12,3.18,10.57,82.5
202.26,6.23,2.14,9.79,72.99
187.7,6.33,2.74,10.24,75.5
195.96,5.52,2.09,10.72,62.83
209.9,5.5,2.82,10.9,76.33
237.26,6.1,2.66,9.29,84.77
240.25,5.8,3.33,10.85,84.77
180.49,5.9,2.53,9.98,70.67
215.75,6.09,2.18,9.52,79.98
209.22,6.28,2.21,9.92,74.85
195.55,5.18,3.14,10.96,72.62
188.39,5.25,2.93,9.99,70.34
203.63,4.69,2.15,9.66,64.52
246.0,5.66,2.13,10.27,79.29
202.62,4.57,3.05,9.48,71.34
216.32,5.43,2.11,9.15,72.92
229.21,5.59,3.23,9.26,83.87
205.45,5.07,3.06,9.26,77.34
248.02,5.68,2.12,9.3,80.71
247.37,4.56,2.13,9.28,77.04
197.62,4.57,3.48,10.28,72.87
214.81,6.15,2.56,9.36,78.34
201.06,5.22,2.56,9.69,69.31
199.94,4.75,3.22,10.79,71.16
182.58,5.54,3.42,9.95,76.19
222.67,6.04,3.48,10.34,86.89
215.19,4.93,3.13,9.34,76.24
183.6,5.75,2.56,9.38,72.56
199.51,4.67,2.13,9.08,68.97
